country,city,base_cost_of_living,one_bedroom_rent_centre,one_bedroom_rent_outside_centre,three_bedroom_rent_centre,three_bedroom_rent_outside_centre,price_per_squared_meter_centre,price_per_squared_meter_outside_centre,avg_net_salary,entries
SK,Kosice,735.1,620.83,503.85,946.15,683.33,3266.67,2766.67,1092.75,371
SK,Presov,659.8,402.5,344.0,600.0,510.0,3462.5,2062.5,935.89,233
IS,Reykjavik,1201.2,1723.63,1540.53,2501.28,2223.62,5861.25,4631.98,3415.49,1156
US,New-York,1534.0,3857.0,2645.54,7836.54,4184.64,16450.32,10920.21,5492.67,2007
US,Los-Angeles,1268.5,2311.83,1970.7,4386.55,3454.11,7625.56,6672.6,4997.56,1694
US,Chicago,1206.5,2273.72,1400.47,4282.79,2754.06,3343.77,2600.81,4715.11,1454
US,Houston,1069.1,1488.67,1127.44,3176.65,1977.38,3608.8,2279.91,4542.73,1266
US,Phoenix,1047.1,1458.25,1293.49,2487.9,2170.14,3195.68,2685.83,4235.01,1123
US,Philadelphia,1161.0,1650.59,1195.8,2895.36,1953.66,3526.77,2420.44,3812.54,629
US,San-Antonio,1032.7,1595.12,1227.64,2570.05,1900.39,6660.15,2652.45,3556.83,600
US,San-Diego,1292.6,2605.31,2259.75,4678.21,3969.02,9077.78,6544.32,5211.16,1056
US,Dallas,1147.5,1708.2,1391.49,3573.5,2593.44,3633.99,2033.13,5115.34,918
US,San-Jose,1361.1,2637.4,2284.49,4548.33,3742.28,13984.17,10407.14,6358.6,699
US,Austin,1057.9,2130.29,1430.78,4367.21,2489.71,6317.22,2938.59,5098.27,1496
US,Jacksonville,1027.3,1509.09,1280.55,2448.33,1910.45,4436.18,2258.06,3617.64,486
US,Fort-Worth,1073.9,1454.33,1027.79,2118.77,1760.99,2145.66,1893.95,4153.12,348
US,Columbus,1087.6,1432.1,1090.62,2768.55,1977.87,2930.69,2943.19,3572.25,406
US,San-Francisco,1397.0,3021.78,2544.81,5497.46,4646.42,12544.33,11168.05,6979.75,1229
CA,Toronto,1040.6,1711.45,1518.11,3052.75,2475.63,9525.62,7455.58,3149.89,4350
CA,Montreal,930.4,1123.31,873.03,2051.65,1475.2,6924.83,3878.21,2497.39,2522
CA,Vancouver,1070.1,1904.91,1570.31,3449.12,2635.24,10903.29,7030.49,2973.47,2830
CA,Calgary,1072.0,1354.26,1088.05,2050.71,1705.51,3203.33,3016.54,3314.92,2413
CA,Edmonton,962.8,919.66,789.44,1507.39,1218.26,2797.85,1876.78,2914.73,1507
CA,Ottawa,1059.7,1333.03,1222.71,2169.17,1731.93,6059.5,5026.69,2710.03,1484
CA,Mississauga,982.6,1771.88,1574.71,2553.49,2324.1,8197.03,7248.26,3034.39,541
CA,Winnipeg,956.5,871.96,923.07,1379.13,1400.34,2942.85,2716.48,2245.66,911
CA,Quebec-City,992.8,899.62,864.18,1336.56,1108.66,8488.99,3116.4,2337.36,576
CA,Hamilton,1013.1,1356.96,1254.79,1972.84,1689.31,15716.45,13771.05,2517.27,348
AU,Sydney,1098.9,2052.93,1442.0,4043.7,2376.3,15389.54,9735.98,3755.52,3007
AU,Melbourne,981.2,1512.57,1200.08,2881.86,1787.22,8068.98,6568.3,3810.21,2418
AU,Brisbane,1032.6,1549.71,1328.5,2440.98,1646.11,8042.26,5718.95,3610.06,1752
AU,Perth,1071.4,1576.99,1144.27,2363.06,1763.44,7014.06,5489.79,3603.63,1817
AU,Adelaide,1189.7,1319.63,986.61,2307.66,1560.03,6938.77,4298.36,2993.87,1435
AU,Gold-Coast,980.2,1374.88,1307.94,2212.09,1835.73,10445.98,6067.89,3508.88,268
AU,Canberra,1252.2,1687.53,1344.84,2584.93,1945.79,7508.54,6232.22,2866.73,1057
